,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD)
359,Carry Technology Co. Ltd. U3A4G93-13G9BE3B00 4GB,27,13.8,7.4,NA
360,Carry Technology Co. Ltd. U3A4G93-16GBCN2B00 4GB,76,5.8,4.1,NA
361,Carry Technology Co. Ltd. U3A4G93-16GBHE3B00 4GB,69,5.8,3.2,NA
362,Carry Technology Co. Ltd. U3A4G93-16GBHN2B00 4GB,77,6.0,4.4,NA
363,Carry Technology Co. Ltd. U3A4G93-16GBHN3B00 4GB,25,15.2,8.7,NA
364,Carry Technology Co. Ltd. U3A4G93-16GBHT3B00 4GB,27,13.4,7.9,NA
365,Carry Technology Co. Ltd. U3A8G93-13G9BE3B00 8GB,69,6.5,3.3,NA
366,Carry Technology Co. Ltd. U3A8G93-13G9HE3B00 8GB,26,14.0,8.3,NA
367,Carry Technology Co. Ltd. U3A8G93-16G9LHAB00 8GB,28,14.1,8.4,NA
368,Carry Technology Co. Ltd. U3A8G93-16GBBE3B00 8GB,26,13.9,9.1,NA
369,Carry Technology Co. Ltd. U3A8G93-16GBCN2B00 8GB,25,15.1,10.3,NA
370,Carry Technology Co. Ltd. U3A8G93-16GBCN3B00 8GB,26,10.9,5.4,NA
371,Carry Technology Co. Ltd. U3A8G93-16GBHE3B00 8GB,26,10.5,4.7,NA
372,Carry Technology Co. Ltd. U3A8G93-16GBHN2B00 8GB,71,5.9,3.3,NA
373,Carry Technology Co. Ltd. U3A8G93-16GBHT3B00 8GB,31,10.4,8.1,NA
374,Carry Technology Co. Ltd. U3A8G93-18G9KHAB00 8GB,34,10.7,8.4,NA
375,Carry Technology Co. Ltd. U3A8G93-21G9KHAC00 8GB,22,17.0,11.4,NA
376,Carry Technology Co. Ltd. U3A8GA3-16GBHT2B00 8GB,26,15.8,9.7,NA
377,Carry Technology Co. Ltd. U3A8GA3-16GBHT3B00 8GB,25,16.4,9.8,NA
378,Centon Electronics NIGV78PEA 4GB,27,14.3,8.7,NA
379,Centon Electronics SPD0060 8GB,28,12.2,8.2,NA
380,Centon Electronics SPD0124 8GB,27,12.7,8.8,NA
381,Centon Electronics SPD0156 8GB,45,8.1,6.4,NA
382,Centon Electronics SPD0288 8GB,26,15.1,10.0,NA
383,Century Micro Inc. CENTURY HQ MEMORY 1GB,36,13.1,8.8,NA
384,CHIPS & Systems Inc BLS8 8GB,23,11.1,5.4,$69.56*
385,Chrysalis ITS CMY16GX3M2A2400C11 8GB,75,6.5,3.2,$435.97*
386,CompuStocx (CSX)  2GB,26,11.8,8.9,NA
387,Corsair CM3B4G1C1600L11 4GB,26,15.4,8.8,NA
388,Corsair CM3B4G1C1600L9 4GB,36,14.2,8.6,NA
389,Corsair CM3B4G1D1600K11S 4GB,28,13.1,8.2,NA
390,Corsair CM3B4G2A1333L9 4GB,24,15.1,8.4,NA
391,Corsair CM3B4G2C1600L11 4GB,27,13.8,8.8,NA
392,Corsair CM3B4G2C1600L11B 4GB,23,16.3,9.8,NA
393,Corsair CM3B4G2C1600L9 4GB,23,15.2,9.8,NA
394,Corsair CM3B8G2A1333L9 8GB,24,15.4,8.7,NA
395,Corsair CM3B8G2C1600L11 8GB,34,15.1,9.4,NA
396,Corsair CM3B8G2C1600L9L 8GB,38,14.5,9.3,NA
397,Corsair CM3B8G2D1600K11S 8GB,32,11.7,8.8,NA
398,Corsair CM3B8G2E1600L10S 8GB,26,13.8,9.4,NA
399,Corsair CM3B8G2H1866K10S 8GB,27,13.5,10.5,NA
400,Corsair CM3X1024-1333C9 1GB,34,10.3,6.1,NA
401,Corsair CM3X1024-1333C9DHX 1GB,27,14.1,8.8,NA
402,Corsair CM3X1024-1600C7DHX 2GB,21,16.6,9.4,NA
403,Corsair CM3X1G1333C9 1GB,26,10.6,6.3,NA
404,Corsair CM3X1G1600C9 1GB,23,13.6,7.9,NA
405,Corsair CM3X1G1600C9DHX 1GB,30,12.4,6.4,NA
406,Corsair CM3X1G1600C9DHXNV 1GB,63,7.0,5.5,NA
407,Corsair CM3X2048-1333C9 2GB,63,6.8,5.5,NA
408,Corsair CM3X2G1333C9 2GB,39,12.2,8.0,NA
409,Corsair CM3X2G1333C9D 2GB,26,12.7,7.8,NA
410,Corsair CM3X2G1333C9D6 2GB,26,9.5,5.7,NA
411,Corsair CM3X2G1333C9DHX 2GB,27,14.0,8.4,NA
412,Corsair CM3X2G1333C9N 2GB,72,6.2,4.3,NA
413,Corsair CM3X2G1600C7 2GB,20,13.5,8.0,NA
414,Corsair CM3X2G1600C7D 2GB,22,14.6,8.8,NA
415,Corsair CM3X2G1600C8 2GB,25,14.5,8.7,NA
416,Corsair CM3X2G1600C8D 2GB,24,13.4,8.6,NA
417,Corsair CM3X2G1600C9 2GB,38,11.9,7.8,NA
418,Corsair CM3X2G1600C9B6 2GB,27,12.5,8.7,NA
419,Corsair CM3X2G1600C9B6X 2GB,67,6.6,5.5,NA
420,Corsair CM3X2G1600C9D3 2GB,69,6.3,4.7,NA
421,Corsair CM3X2G1600C9D6 2GB,65,6.5,5.2,NA
422,Corsair CM3X2G1600C9DHX 2GB,36,12.4,7.6,NA
423,Corsair CM3X2G1600C9NX 2GB,24,12.8,8.9,NA
424,Corsair CM3X2G1866C9D 2GB,23,14.9,9.1,NA
425,Corsair CM3X2GSD1066 2GB,210,2.1,1.2,$14.99*
426,Corsair CM3X4GAD1600C9A4 4GB,24,15.6,10.1,NA
427,Corsair CM3X4GB1600C9B2 4GB,67,4.6,4.2,NA
428,Corsair CM3X4GB1866C9L4 4GB,29,12.2,6.9,NA
429,Corsair CM3X4GB2133C11Y4 4GB,32,15.9,10.1,NA
430,Corsair CM3X4GBA1600C9V4 4GB,26,12.3,9.6,NA
431,Corsair CM3X4GSD1066 4GB,30,12.4,6.7,$25.99*
432,Corsair CM3X8GA1333C9P4 8GB,26,13.7,8.2,NA
433,Corsair CM3X8GA1600C10V2 8GB,26,9.9,4.9,NA
434,Corsair CM3X8GA1600C11V2 8GB,26,16.0,10.0,NA
435,Corsair CM3X8GA1866C10L4 8GB,26,14.9,10.0,NA
436,Corsair CM3X8GA2133C11Y4 8GB,37,15.2,10.1,NA
437,Corsair CM3X8GA2133C9D8 8GB,30,15.3,11.6,NA
438,Corsair CM3X8GA2400C11Y2R 8GB,20,19.1,13.1,NA
439,Corsair CM3X8GAD1600C11A4 8GB,28,13.5,9.3,NA
440,Corsair CM3X8GB1333C9N2 8GB,27,14.0,8.0,NA
441,Corsair CM3X8GB1333C9S2 8GB,29,13.0,8.1,NA
442,Corsair CM3X8GB1600C11N2 8GB,52,12.0,6.9,NA
443,Corsair CM3X8GB1600C9L4 8GB,24,15.2,10.6,NA
444,Corsair CMD12GX3M6A1600C8 2GB,37,9.1,9.2,NA
445,Corsair CMD16GX3M2A1600C7 8GB,35,14.1,9.1,$169.99*
446,Corsair CMD16GX3M2A1600C9 8GB,38,15.3,9.5,$133.99*
447,Corsair CMD16GX3M2A1866C10 8GB,28,13.7,9.1,$162.37*
448,Corsair CMD16GX3M2A1866C9 8GB,36,15.5,9.9,$119.99*
449,Corsair CMD16GX3M2A2133C9 8GB,36,15.7,10.4,$129.99*
450,Corsair CMD16GX3M2A2400C10 8GB,34,17.2,11.1,$179.99*
451,Corsair CMD16GX3M2A2400C11 8GB,35,15.7,10.6,$164.42*
452,Corsair CMD16GX3M2A2666C11 8GB,20,16.7,11.2,$249.99*
453,Corsair CMD16GX3M2A2666C12 8GB,30,16.9,10.8,$222.99*
454,Corsair CMD16GX3M2W 1GB,55,7.3,5.8,NA
455,Corsair CMD16GX3M4A1600C7 4GB,26,13.8,9.8,$189.99*
456,Corsair CMD16GX3M4A1866C9 4GB,34,15.7,10.7,$235.45*
457,Corsair CMD16GX3M4A2133C8 4GB,21,17.3,11.2,$397.19*
458,Corsair CMD16GX3M4A2133C9 4GB,30,15.1,11.1,$319.99*
459,Corsair CMD16GX3M4A2400C10 4GB,33,14.3,11.1,$199.99*
460,Corsair CMD16GX3M4A2400C11 4GB,28,15.2,11.8,$198.82*
461,Corsair CMD16GX3M4A2400C9 4GB,28,16.5,12.3,$469.99*
462,Corsair CMD16GX3M4A2666C10 4GB,17,18.6,12.4,$579.99*
463,Corsair CMD16GX3M4A2666C11 4GB,25,18.6,12.9,$369.99*
464,Corsair CMD16GX3M4A2666C12 4GB,23,17.2,11.4,$199.99*
465,Corsair CMD16GX3M4A2800C11 4GB,24,15.6,9.7,NA
466,Corsair CMD16GX3M4A2800C12 4GB,21,16.5,11.4,$689.99*
467,Corsair CMD16GX3M4A2933C12 4GB,22,16.6,11.4,$289.99*
468,Corsair CMD16GX3M4A3000C12 4GB,18,17.0,11.3,$369.99*
469,Corsair CMD16GX3M4B2133C9 4GB,31,17.2,10.5,$179.99*
470,Corsair CMD16GX3M4B2800C12 4GB,19,17.6,11.3,$199.99*
471,Corsair CMD32GX3M4A1600C10 8GB,28,13.3,9.1,$389.99*
472,Corsair CMD32GX3M4A1600C7 8GB,24,14.6,10.0,$359.99*
473,Corsair CMD32GX3M4A1600C9 8GB,40,13.5,8.3,$269.99*
474,Corsair CMD32GX3M4A1866C10 8GB,26,14.5,10.3,$567.95*
475,Corsair CMD32GX3M4A1866C9 8GB,35,13.7,10.5,$223.99*
476,Corsair CMD32GX3M4A2133C9 8GB,37,13.6,10.8,$279.99*
477,Corsair CMD32GX3M4A2400C10 8GB,32,16.8,11.2,$359.99*
478,Corsair CMD32GX3M4A2400C11 8GB,30,16.5,12.6,$289.99*
479,Corsair CMD32GX3M4A2666C12 8GB,26,14.2,9.0,$379.99*
480,Corsair CMD4GX3M2A1600C8 2GB,36,13.6,9.0,NA
481,Corsair CMD4GX3M2A1600C9 2GB,25,13.7,9.8,NA
482,Corsair CMD4GX3M2B1600C8 2GB,68,6.3,4.4,NA
483,Corsair CMD64GX3M8A2133C9 8GB,25,13.5,11.1,$629.99*
484,Corsair CMD64GX3M8A2400C11 8GB,22,15.8,9.8,$569.99*
485,Corsair CMD8GX3M2A1600C7 4GB,24,15.8,9.6,$99.99*
486,Corsair CMD8GX3M2A1600C8 4GB,30,15.5,9.9,$119.99*
487,Corsair CMD8GX3M2A1600C9 4GB,38,13.7,9.3,$69.99*
488,Corsair CMD8GX3M2A1866C9 4GB,23,15.4,9.9,$129.48*
489,Corsair CMD8GX3M2A2133C8 4GB,21,18.1,10.5,$134.99*
490,Corsair CMD8GX3M2A2133C9 4GB,33,14.8,9.6,$169.99*
491,Corsair CMD8GX3M2A2400C10 4GB,21,17.1,11.5,$99.99*
492,Corsair CMD8GX3M2A2400C11 4GB,23,16.6,10.7,$81.99*
493,Corsair CMD8GX3M2A2666C11 4GB,21,16.1,10.4,$169.99*
494,Corsair CMD8GX3M2A2666C12 4GB,20,16.7,10.7,$109.99*
495,Corsair CMD8GX3M2A2800C12 4GB,20,17.3,12.0,NA
496,Corsair CMD8GX3M2A2933C12 4GB,28,13.5,9.3,$99.99*
497,Corsair CMD8GX3M2A3000C12 4GB,28,14.9,8.1,$149.99*
498,Corsair CMD8GX3M2B2133C9 4GB,22,15.9,10.6,$89.99*
499,Corsair CMD8GX3M2B2800C12 4GB,20,16.2,11.1,$154.99*
500,Corsair CMD8GX3M4A1333C7 2GB,30,9.9,8.9,NA
501,Corsair CMD8GX3M4A1600C8 2GB,23,14.8,9.6,NA
502,Corsair CMG4GX3M2A1600C7 2GB,23,17.7,10.5,NA
503,Corsair CMG4GX3M2A2000C8 2GB,19,18.4,12.1,NA
504,Corsair CMG4GX3M2B1600C7 2GB,63,6.8,5.4,NA
505,Corsair CMG6GX3M3A1600C7 2GB,23,14.4,11.9,NA
506,Corsair CMG6GX3M3A1866C7 2GB,46,7.9,6.4,NA
507,Corsair CMG6GX3M3A2000C8 2GB,22,13.1,8.4,NA
508,Corsair CML16GX3M2A1600C10 8GB,41,14.1,8.6,$139.00
509,Corsair CML16GX3M2A1600C11 8GB,28,14.1,8.8,NA
510,Corsair CML16GX3M2A1600C9 8GB,41,14.5,8.8,$133.98*
511,Corsair CML16GX3M2A1866C10 8GB,40,13.7,8.1,$174.07*
512,Corsair CML16GX3M2C1600C9 8GB,35,13.7,8.6,$243.18*
513,Corsair CML16GX3M4A1600C9 4GB,39,14.6,9.1,$299.99*
514,Corsair CML16GX3M4A1866C9 4GB,36,13.1,10.4,$169.99*
515,Corsair CML16GX3M4A2133C11 4GB,23,15.0,11.3,$154.99*
516,Corsair CML16GX3M4X1600C7 4GB,33,14.4,9.8,$129.99*
517,Corsair CML16GX3M4X1600C8 4GB,36,13.7,9.5,$389.95*
518,Corsair CML32GX3M4A1600C10 8GB,42,13.7,8.9,$172.99*
519,Corsair CML32GX3M4A1866C10 8GB,39,13.4,10.2,$298.71*
520,Corsair CML4GX3M1A1600C9 4GB,33,15.5,9.5,$55.99*
521,Corsair CML4GX3M1X1600C7 4GB,23,15.0,9.3,$77.48*
522,Corsair CML4GX3M2A1600C9 2GB,35,15.8,9.0,$42.36*
523,Corsair CML8GX3M1A1600C10 8GB,38,14.4,9.5,$43.99*
524,Corsair CML8GX3M1A1600C9 8GB,36,14.2,9.3,$39.99*
525,Corsair CML8GX3M1C1600C9 8GB,25,13.9,8.1,$134.89*
526,Corsair CML8GX3M2A1333C9 4GB,25,13.0,8.2,NA
527,Corsair CML8GX3M2A1600C9 4GB,39,14.6,8.8,$79.00
528,Corsair CML8GX3M2A1600C9W 4GB,37,13.8,9.0,NA
529,Corsair CML8GX3M2A1866C9 4GB,36,15.0,9.5,$129.89*
530,Corsair CML8GX3M2A2133C11 4GB,35,14.9,9.8,$73.99*
531,Corsair CML8GX3M2B1600C11 4GB,35,14.7,9.5,NA
532,Corsair CML8GX3M2C1600C9 4GB,27,12.5,7.6,$59.99*
533,Corsair CMP12GX3M3A1600C9 4GB,29,12.3,8.2,$116.95*
534,Corsair CMP16GX3M2A1333C9 8GB,28,10.5,5.9,NA
535,Corsair CMP16GX3M2A1600C10 8GB,26,13.9,8.7,$270.19*
536,Corsair CMP16GX3M2A1600C11 8GB,34,15.3,9.4,$155.99*
537,Corsair CMP16GX3M2X1866C9 8GB,22,15.4,9.9,$229.29*
538,Corsair CMP16GX3M4A1333C9 4GB,25,13.7,8.6,$159.99*
539,Corsair CMP16GX3M4A1600C9 4GB,85,4.7,3.7,NA
540,Corsair CMP16GX3M4X1600C7 4GB,24,13.9,9.9,$234.99*
541,Corsair CMP16GX3M4X1866C9 4GB,38,13.3,10.0,$290.90*
542,Corsair CMP24GX3M6A1333C9 4GB,30,12.4,7.0,NA
543,Corsair CMP24GX3M6A1600C9 4GB,24,13.1,9.7,NA
544,Corsair CMP32GX3M4X1600C10 8GB,41,12.4,8.7,$324.99*
545,Corsair CMP4GX3M2A1600C8 2GB,26,13.8,8.6,NA
546,Corsair CMP4GX3M2A1600C9 2GB,24,14.9,9.3,$62.99*
547,Corsair CMP4GX3M2B1600C8 2GB,27,13.5,8.2,NA
548,Corsair CMP4GX3M2C1600C7 2GB,36,14.9,9.4,NA
549,Corsair CMP6GX3M3A1600C7 2GB,23,11.4,8.5,NA
550,Corsair CMP6GX3M3A1600C8 2GB,30,14.9,9.4,$89.99*
551,Corsair CMP8GX3M2A1600C8 4GB,22,15.0,10.0,NA
552,Corsair CMP8GX3M2A1600C9 4GB,40,13.6,8.3,$71.71*
553,Corsair CMP8GX3M2B1333C9 4GB,36,14.2,8.0,$96.99*
554,Corsair CMP8GX3M4A1333C9 2GB,27,14.4,8.5,NA
555,Corsair CMP8GX3M4A1600C8 2GB,23,14.1,9.5,NA
556,Corsair CMSA4GX3M1A1333C9 4GB,30,8.4,8.1,$27.90*
557,Corsair CMSA8GX3M1A1333C9 8GB,42,13.3,8.0,$69.98
558,Corsair CMSA8GX3M1A1600C11 8GB,71,7.1,5.6,$69.99*
559,Corsair CMSA8GX3M2A1333C9 4GB,29,11.0,7.8,$75.59*
560,Corsair CMSO16GX3M2C1600C1 8GB,44,10.9,7.9,$214.90*
561,Corsair CMSO2GX3M1A1333C9 2GB,25,12.2,7.6,$39.99*
562,Corsair CMSO4GX3M1A1333C9 4GB,43,11.8,8.0,$26.91*
563,Corsair CMSO4GX3M1A1600C11 4GB,31,11.1,6.9,$49.99*
564,Corsair CMSO4GX3M1C1333C9 4GB,27,11.7,8.5,$23.94*
565,Corsair CMSO4GX3M1C1600C11 4GB,28,12.6,8.3,$39.00
566,Corsair CMSO8GX3M1A1333C9 8GB,42,11.9,7.9,$34.99*
567,Corsair CMSO8GX3M1A1600C11 8GB,39,13.1,9.3,$37.99*
568,Corsair CMSO8GX3M1C1333C9 8GB,34,10.7,7.7,$34.99*
569,Corsair CMSO8GX3M1C1600C11 8GB,42,12.1,8.3,$65.00
570,Corsair CMSO8GX3M2C1600C11 4GB,28,12.0,7.4,$42.99*
571,Corsair CMSX16GX3M2B1600C9 8GB,44,12.8,8.9,$129.94*
572,Corsair CMSX16GX3M2B1866C1 8GB,37,13.6,10.7,$239.95*
573,Corsair CMSX16GX3M2B2133C1 8GB,24,15.4,11.5,$159.99*
574,Corsair CMSX16GX3M2C1866C1 8GB,29,12.7,7.9,$119.99*
575,Corsair CMSX16GX3M2C2133C1 8GB,27,13.2,10.8,$97.99*
576,Corsair CMSX4GX3M1A1600C9 4GB,39,12.6,9.0,$59.99*
577,Corsair CMSX8GX3M1A1600C1 8GB,29,12.1,8.4,$38.99*
578,Corsair CMSX8GX3M1A1600C10 8GB,47,13.1,8.9,$46.99*
579,Corsair CMSX8GX3M1A1866C10 8GB,36,14.4,10.4,NA
580,Corsair CMSX8GX3M2A1600C9 4GB,37,13.2,8.4,$44.99*
581,Corsair CMSX8GX3M2A1866C10 4GB,24,14.6,9.9,$92.99*
582,Corsair CMSX8GX3M2B1600C9 4GB,42,11.3,8.2,$73.05*
583,Corsair CMSX8GX3M2B1866C10 4GB,25,13.5,9.4,$42.00*
584,Corsair CMSX8GX3M2B2133C11 4GB,27,13.3,9.9,$66.99*
585,Corsair CMSX8GX3M2C2133C11 4GB,139,5.4,4.5,$54.99*
586,Corsair CMT12GX3M3A2000C9 4GB,38,13.2,10.6,$173.99*
587,Corsair CMT16GX3M4X2133C9 4GB,35,14.4,11.2,$284.99*
588,Corsair CMT32GX3M4X1866C9 8GB,42,13.6,9.5,$424.99*
589,Corsair CMT4GX3M2A1600C7 2GB,21,17.0,10.6,NA
590,Corsair CMT4GX3M2A1866C9 2GB,22,15.4,9.9,NA
591,Corsair CMT4GX3M2A2000C8 2GB,22,14.8,10.3,NA
592,Corsair CMT4GX3M2A2133C9 2GB,21,16.6,10.9,NA
593,Corsair CMT6GX3M3A1600C7 2GB,38,13.0,8.5,NA
594,Corsair CMT6GX3M3A1866C9 2GB,21,15.1,12.1,NA
595,Corsair CMT6GX3M3A2000C8 2GB,21,15.1,10.6,NA
596,Corsair CMT8GX3M2A1866C9 4GB,30,16.3,10.8,$96.99*
597,Corsair CMT8GX3M2A2000C9 4GB,21,16.0,11.0,$99.99*
598,Corsair CMT8GX3M2B2133C9 4GB,22,15.7,11.0,$134.99*
599,Corsair CMT8GX3M4A1866C9 2GB,85,6.3,5.6,NA
600,Corsair CMV4GX3M1A1333C9 4GB,42,13.0,8.1,$22.00*
601,Corsair CMV4GX3M1A1600C11 4GB,44,13.6,8.2,$22.97*
602,Corsair CMV4GX3M1B1600C11 4GB,25,14.2,8.1,NA
603,Corsair CMV4GX3M1C1600C11 4GB,28,12.9,8.5,$22.99*
604,Corsair CMV8GX3M1A1333C9 8GB,41,13.4,8.1,$59.89*
605,Corsair CMV8GX3M1A1600C11 8GB,41,14.4,9.4,$38.99*
606,Corsair CMV8GX3M1C1600C11 8GB,39,12.6,8.5,$39.99*
607,Corsair CMV8GX3M2A1333C9 4GB,27,13.0,7.5,$47.65*
608,Corsair CMV8GX3M2A1600C11 4GB,35,11.6,8.4,$69.00
609,Corsair CMX12GX3M3A1333C9 4GB,26,12.5,7.3,$166.97*
610,Corsair CMX12GX3M3A1600C9 4GB,26,14.8,9.0,NA
611,Corsair CMX12GX3M3A2000C9 4GB,25,12.3,10.0,$144.99*
612,Corsair CMX16GX3=4A1866C11 4GB,25,13.3,12.0,NA
613,Corsair CMX16GX3M2A1333C9 8GB,40,14.0,8.8,$158.66*
614,Corsair CMX16GX3M2A1600C11 8GB,44,13.7,8.4,$165.29*
615,Corsair CMX16GX3M4A1333C9 4GB,44,12.6,8.0,$296.85*
616,Corsair CMX16GX3M4A1600C9 4GB,37,14.1,9.2,$169.99*
617,Corsair CMX16GX3M4A1866C11 4GB,23,15.8,11.2,NA
618,Corsair CMX32GX3M4A1333C9 8GB,28,12.3,7.9,$401.41*
619,Corsair CMX32GX3M4A1600C11 8GB,43,12.9,8.1,$237.99*
620,Corsair CMX4GX3M1A1333C9 4GB,40,13.7,7.9,$26.32*
621,Corsair CMX4GX3M1A1600C11 4GB,36,14.4,8.8,$49.99*
622,Corsair CMX4GX3M1A1600C7 4GB,36,12.2,8.4,NA
623,Corsair CMX4GX3M1A1600C9 4GB,35,14.1,9.0,$21.99*
624,Corsair CMX4GX3M1A1600ï¿½ï¿½ 4GB,64,7.0,3.5,NA
625,Corsair CMX4GX3M2A1333C8 2GB,27,11.8,8.0,$33.99*
626,Corsair CMX4GX3M2A1600C7 2GB,23,14.5,9.5,NA
627,Corsair CMX4GX3M2A1600C8 2GB,36,14.1,8.6,$44.99*
628,Corsair CMX4GX3M2A1600C9 2GB,38,13.6,8.7,$52.69*
629,Corsair CMX4GX3M2A2000C9 2GB,19,15.4,11.7,NA
630,Corsair CMX4GX3M2B1600C9 2GB,24,13.9,8.7,$69.95*
631,Corsair CMX4GX3M2B2000C9 2GB,21,15.4,10.8,$59.99*
632,Corsair CMX64GX3M8A1333C9 8GB,29,12.3,9.6,$692.67*
633,Corsair CMX64GX3M8A1600C11 8GB,30,12.1,9.4,$299.99*
634,Corsair CMX6GX3M3A1333C9 2GB,27,12.4,7.4,NA
635,Corsair CMX6GX3M3A1600C9 2GB,36,14.4,8.7,$83.99*
636,Corsair CMX6GX3M3B2000C9 2GB,26,11.3,8.4,NA
637,Corsair CMX6GX3M3C1600C7 2GB,22,15.5,8.7,NA
638,Corsair CMX8GX3M1A1333C9 8GB,37,14.1,8.1,$136.99*
639,Corsair CMX8GX3M1A1600C11 8GB,39,14.7,9.0,$78.99*
640,Corsair CMX8GX3M2A1333C9 4GB,42,13.2,8.1,$54.70*
641,Corsair CMX8GX3M2A1600C11 4GB,39,12.1,9.8,$47.99*
642,Corsair CMX8GX3M2A1600C9 4GB,39,14.2,8.7,$52.49*
643,Corsair CMX8GX3M2A1866C11 4GB,24,13.9,10.8,NA
644,Corsair CMX8GX3M2A2000C9 4GB,36,14.1,9.2,$99.99*
645,Corsair CMX8GX3M2B1600C9 4GB,40,13.4,8.1,$42.99*
646,Corsair CMX8GX3M4A1333C9 2GB,34,13.2,8.5,$37.99*
647,Corsair CMX8GX3M4A1600C9 2GB,35,13.8,8.3,$64.99*
648,Corsair CMX8GX3M4B1333C9 2GB,27,12.0,8.3,NA
649,Corsair CMXG4GX3M2A1600C9 2GB,76,6.3,4.3,NA
650,Corsair CMY16GX3M2A1600C9 8GB,41,14.5,8.9,$149.00*
651,Corsair CMY16GX3M2A1866C10 8GB,25,14.2,9.2,$120.99*
652,Corsair CMY16GX3M2A1866C9 8GB,39,15.2,9.6,$139.98*
653,Corsair CMY16GX3M2A1866Cï¿½ 8GB,67,6.7,5.3,NA
654,Corsair CMY16GX3M2A2133C11 8GB,36,16.2,10.8,$136.99*
655,Corsair CMY16GX3M2A2133C9 8GB,21,16.7,11.4,$178.00*
656,Corsair CMY16GX3M2A2400C10 8GB,32,15.7,11.1,$189.99*
657,Corsair CMY16GX3M2A2400C11 8GB,35,16.4,10.9,$259.00*
658,Corsair CMY16GX3M2A2666C12 8GB,23,16.2,10.9,$194.99*
659,Corsair CMY16GX3M2B2133C11 8GB,35,15.4,10.6,$116.99*
660,Corsair CMY16GX3M2C1600C9 8GB,25,12.9,7.6,$119.99*
661,Corsair CMY16GX3M2C1866C10 8GB,25,13.8,8.6,$120.99*
662,Corsair CMY16GX3M2C2133C11 8GB,24,14.8,9.4,$88.99*
663,Corsair CMY16GX3M4A2133C8 4GB,20,17.0,11.5,NA
664,Corsair CMY16GX3M4A2133C9 4GB,24,15.6,11.3,NA
665,Corsair CMY16GX3M4A2666C12 4GB,25,14.9,9.4,$219.99*
666,Corsair CMY16GX3M4A2800C12 4GB,21,16.8,11.3,NA
667,Corsair CMY16GX3M4A2933C12 4GB,27,14.2,8.1,NA
668,Corsair CMY16GX3M4A3000C12 4GB,18,21.5,13.4,NA
669,Corsair CMY32GX3M4A1600C9 8GB,41,14.3,9.2,$295.00
670,Corsair CMY32GX3M4A1866C9 8GB,37,14.7,9.7,$159.99*
671,Corsair CMY32GX3M4A2133C11 8GB,32,15.2,11.2,$189.99*
672,Corsair CMY32GX3M4A2400C10 8GB,23,14.6,11.7,$479.99*
673,Corsair CMY32GX3M4A2400C11 8GB,36,15.9,10.6,$249.99*
674,Corsair CMY32GX3M4A2666C12 8GB,34,16.2,11.5,$374.99*
675,Corsair CMY32GX3M4A2800C12 8GB,23,16.8,10.7,$499.99*
676,Corsair CMY32GX3M4B2133C11 8GB,26,13.6,10.4,$236.99*
677,Corsair CMY32GX3M4B2666C11 8GB,19,18.9,11.4,NA
678,Corsair CMY32GX3M4C1600C9 8GB,27,12.4,7.5,$563.99*
679,Corsair CMY32GX3M4C1866C10 8GB,24,13.6,7.5,$319.98*
680,Corsair CMY32GX3M4C2133C11 8GB,21,16.4,12.1,NA
681,Corsair CMY64GX3M8A1866C9 8GB,32,11.7,9.1,$369.99*
682,Corsair CMY64GX3M8A2133C11 8GB,28,12.5,9.2,$490.26*
683,Corsair CMY64GX3M8A2400C11 8GB,29,12.2,9.2,$464.99*
684,Corsair CMY8GX3M2A1600C9 4GB,40,14.6,8.4,$149.49*
685,Corsair CMY8GX3M2A1866C9 4GB,36,14.7,9.0,$90.30*
686,Corsair CMY8GX3M2A2133C11 4GB,38,15.3,9.5,$73.99*
687,Corsair CMY8GX3M2A2133C8 4GB,19,18.1,11.9,$99.99*
688,Corsair CMY8GX3M2A2133C9 4GB,33,15.5,9.2,$94.99*
689,Corsair CMY8GX3M2A2400C11 4GB,35,16.2,10.5,$240.99*
690,Corsair CMY8GX3M2A2666C10 4GB,17,22.8,15.4,NA
691,Corsair CMY8GX3M2A2666C11 4GB,23,17.0,10.1,$152.99*
692,Corsair CMY8GX3M2A2666C12 4GB,22,15.8,9.5,$271.72*
693,Corsair CMY8GX3M2A2800C12 4GB,20,17.3,10.2,$129.99*
694,Corsair CMY8GX3M2A3000C12 4GB,26,14.2,7.9,$179.99*
695,Corsair CMY8GX3M2B2133C11 4GB,22,17.0,10.4,$305.98*
696,Corsair CMY8GX3M2B2133C9 4GB,33,16.8,10.5,$53.00*
697,Corsair CMY8GX3M2C1600C9 4GB,26,12.8,7.3,$295.98*
698,Corsair CMY8GX3M2C1866C10 4GB,23,15.8,11.1,$86.84*
699,Corsair CMY8GX3M2C2133C11 4GB,80,6.4,4.3,$43.99*
700,Corsair CMZ12GX3M3A1600C9 4GB,38,14.0,8.4,$69.99*
701,Corsair CMZ12GX3M3A2000C10 4GB,26,12.9,8.7,$129.99*
702,Corsair CMZ16GX3M2A1600C10 8GB,39,14.5,9.2,$76.99*
703,Corsair CMZ16GX3M2A1600C11 8GB,36,13.5,8.8,NA
704,Corsair CMZ16GX3M2A1600C9 8GB,40,14.3,8.8,$135.00
705,Corsair CMZ16GX3M2A1866C10 8GB,39,15.1,9.5,$136.41*
706,Corsair CMZ16GX3M2A1866C9 8GB,39,14.0,9.0,$75.99*
