Amenity,Frequency
24 HDTV with Apple TV,2
Léa Nature conditioner,2
Molton Brown conditioner,2
Enceinte Bluetooth Bluetooth sound system,2
160 HDTV,2
Clarins shampoo,2
105 HDTV with Amazon Prime Video,2
48 HDTV with Disney+,2
Electrolux  stainless steel single oven,2
Fast wifi – 504 Mbps,2
Fast wifi – 589 Mbps,2
Fast wifi – 586 Mbps,2
Other stainless steel electric stove,2
15 HDTV,2
22 HDTV with Amazon Prime Video,2
Fast wifi – 346 Mbps,2
and Xbox One,2
Bio/Organic body soap,2
200 HDTV with Netflix,2
100 TV with Netflix,2
129 TV with Netflix,2
La roche posay body soap,2
60 HDTV with premium cable,2
Fast wifi – 580 Mbps,2
Hotpoint Ariston stainless steel oven,2
DeLonghi oven,2
118 HDTV with standard cable,2
De dietrich stainless steel oven,2
SONY sound system with Bluetooth and aux,2
Carrefour conditioner,2
Scholtes  induction stove,2
50 TV with standard cable,2
De Dietrich refrigerator,2
Caudalie shampoo,2
Fast wifi – 714 Mbps,2
Fast wifi – 497 Mbps,2
Evoluderm body soap,2
Fast wifi – 170 Mbps,2
Game console: Nintendo Wii and PS2,2
70 HDTV with Apple TV,2
Ariston stainless steel electric stove,2
The Naked Shop body soap,2
150 HDTV with Netflix,2
160 HDTV with Netflix,2
Wirlpool stainless steel oven,2
110 HDTV with standard cable,2
Fast wifi – 836 Mbps,2
Organic Naturalia  body soap,2
Fast wifi – 214 Mbps,2
Bowers & Wilkins sound system with aux,2
37 HDTV,2
60 TV with premium cable,2
Rowenta single oven,2
Ice machine,2
Projector and screen,2
Indoor pool,2
Movie theater,2
Free parking on premises – 2 spaces,2
Gated property,2
Heated floors,2
Micro onde oven,2
48 HDTV with Apple TV,2
Savon de marseille  body soap,2
Fast wifi – 339 Mbps,2
Fast wifi – 212 Mbps,2
Fast wifi – 590 Mbps,2
20 HDTV with premium cable,2
24 TV with Netflix,2
Combi microwave oven oven,2
Paid parking garage on premises – 3 spaces,2
Fast wifi – 633 Mbps,2
RITUALS conditioner,2
L:A Bruket shampoo,2
75 HDTV with premium cable,2
Fast wifi – 485 Mbps,2
L'occitane conditioner,2
SAMSUNG stainless steel oven,2
15 TV with standard cable,2
Byphasse shampoo,2
Fast wifi – 689 Mbps,2
Fast wifi – 366 Mbps,2
Divers  conditioner,2
Fast wifi – 126 Mbps,2
23 TV with standard cable,2
Fast wifi – 614 Mbps,2
X oven,2
Aléatoire shampoo,2
17 HDTV,2
Paid parking garage on premises – 14 spaces,2
Ultra Doux conditioner,2
Cabasse sound system with aux,2
Fast wifi – 142 Mbps,2
Indesit electric stove,2
Indesit oven,2
Syoss conditioner,2
36 TV with Amazon Prime Video,2
Frigidaire refrigerator,2
Rosieres induction stove,2
GARNIER conditioner,2
Fast wifi – 541 Mbps,2
Fast wifi – 529 Mbps,2
75 HDTV with Apple TV,2
En question d'écologie nous ne mettons pas à disposition. Si vous nous demandez,2
Byphasse conditioner,2
Aussie shampoo,2
Aussie conditioner,2
CANDY induction stove,2
Harman Kardon sound system,2
SMEGG refrigerator,2
59 HDTV with Netflix,2
Inconnu conditioner,2
Fast wifi – 110 Mbps,2
Audiopro Bluetooth sound system,2
85 HDTV with premium cable,2
Standard conditioner,2
Fast wifi – 507 Mbps,2
cruelty free,2
Grown Alchemist body soap,2
Other stainless steel induction stove,2
Fast wifi – 122 Mbps,2
La Cornue stove,2
La Cornue oven,2
Fast wifi – 98 Mbps,2
Indesit stainless steel oven,2
Gaggenau oven,2
Paid parking garage on premises – 10 spaces,2
Philips sound system,2
MIELE  refrigerator,2
Plusieurs shampoo,2
Fast wifi – 724 Mbps,2
Hotel shampoo,2
Edenwood Bluetooth sound system,2
HITACHI oven,2
Respire body soap,2
Bio  conditioner,2
L’Oréal  body soap,2
Rituals  shampoo,2
Le marseillais body soap,2
22 TV with Amazon Prime Video,2
Scholtes stainless steel oven,2
Fast wifi – 476 Mbps,2
Lamona refrigerator,2
Fast wifi – 195 Mbps,2
110 HDTV,2
Palmolive  body soap,2
Smeg  stainless steel oven,2
32 HDTV with Disney+,2
Arthur martin oven,2
AEG stainless steel oven,2
Oceanic refrigerator,2
19 TV,2
85 HDTV with Apple TV,2
Rosières induction stove,2
Scholtes induction stove,2
IKEA single oven,2
Fast wifi – 824 Mbps,2
WHIRPOOL refrigerator,2
Fast wifi – 407 Mbps,2
Samsung with water dispenser refrigerator,2
JVC sound system with aux,2
What Matters shampoo,2
Free carport on premises,2
- refrigerator,2
Ushuaïa body soap,2
56 HDTV with Amazon Prime Video,2
MOULINEX oven,2
Galimard shampoo,2
Panasonic stainless steel oven,2
Schwartzkopf shampoo,2
DE DIETRICH stainless steel oven,2
115 HDTV,2
Clarins body soap,2
Thomson oven,2
Fast wifi – 512 Mbps,2
Standard  shampoo,2
Electrolux stove,2
Clorane shampoo,2
Smeg stainless steel stove,2
Nature shampoo,2
Nature body soap,2
Petit Marseillais  conditioner,2
Fast wifi – 456 Mbps,2
Le petit marseillais  conditioner,2
Enceinte marshall sound system,2
Davines shampoo,2
Electrolux  induction stove,2
51 HDTV with Netflix,2
39 HDTV,2
54 HDTV with Netflix,2
Monoprix  shampoo,2
31 HDTV with standard cable,2
Marseilles body soap,2
Loreal  shampoo,2
15 TV,2
Conditioner conditioner,2
MIEL refrigerator,2
Moulinex  stainless steel oven,2
Google sound system,2
Ultra Doux shampoo,2
Savon artisanal body soap,2
AEG oven,2
Fragonard shampoo,2
Fast wifi – 437 Mbps,2
L oreal shampoo,2
Inès de la Fressange body soap,2
Hermès  body soap,2
SMEG  refrigerator,2
Hermès  shampoo,2
Hermès  conditioner,2
Alexa sound system with Bluetooth and aux,2
Moulinex  refrigerator,2
Siemens stove,2
L'Oréal body soap,2
Occitane  body soap,2
LE PETIT MARSEILLAIS body soap,2
Panasonic oven,2
34 HDTV with standard cable,2
Fast wifi – 760 Mbps,2
Fast wifi – 837 Mbps,2
Inconnue refrigerator,2
Apple HomePod mini (8 devices total,2
2 devices in your debroom) sound system with Bluetooth and aux,2
Enceinte Bose Bluetooth sound system,2
35 TV with Netflix,2
39 HDTV with premium cable,2
Natural body soap,2
43 TV with standard cable,2
L’Occitane body soap,2
Edifier sound system with Bluetooth and aux,2
Nivea conditioner,2
Toute marque conditioner,2
Toute marque body soap,2
Toutes marques conditioner,2
25 HDTV with standard cable,2
Audio pro sound system with Bluetooth and aux,2
H&S shampoo,2
Security system,2
Ariston stainless steel oven,2
Fast wifi – 362 Mbps,2
LG stainless steel electric stove,2
Chanel body soap,2
Fast wifi – 738 Mbps,2
Focal sound system with aux,2
Geneva sound system with Bluetooth and aux,2
BOSCH stove,2
Private hot tub - available seasonally,2
Indesit induction stove,2
AEG gas stove,2
Fast wifi – 155 Mbps,2
Rosières electric stove,2
Google Home sound system,2
Biocoop shampoo,2
Harman/Kardon Bluetooth sound system,2
La Provençale body soap,2
L’Occitane shampoo,2
Fast wifi – 745 Mbps,2
Marshall Stanmore 2 sound system with Bluetooth and aux,2
BRANDT stainless steel oven,2
Fast wifi – 327 Mbps,2
Wifi – 1 Mbps,2
45 TV with Netflix,2
Shared outdoor pool - available seasonally,2
Body Shop body soap,2
Olaplex shampoo,2
Olaplex conditioner,2
59 HDTV with Chromecast,2
Rosière  stainless steel single oven,2
Fast wifi – 146 Mbps,2
Aga Marvel electric stove,2
Denon  sound system,2
Fast wifi – 215 Mbps,2
Fast wifi – 138 Mbps,2
WHIRLPOOL  stainless steel oven,2
Marseillaise body soap,2
Américain  refrigerator,2
110 TV,2
Any shampoo,2
Savon de marseille shampoo,2
Paid parking lot on premises – 25 spaces,2
Fridge refrigerator,2
Weleda conditioner,2
24 HDTV with premium cable,2
Fast wifi – 200 Mbps,2
Fast wifi – 354 Mbps,2
Le marseillais  body soap,2
Bosse sound system,2
and Xbox 360,2
Shampoing bio shampoo,2
Fast wifi – 370 Mbps,2
SMEG single oven,2
Eucerin body soap,2
44 HDTV,2
Rosières  gas stove,2
Rosières  refrigerator,2
Samsung The Sero Bluetooth sound system,2
32 TV with Chromecast,2
Fast wifi – 501 Mbps,2
Fast wifi – 892 Mbps,2
Bang & Olufsen sound system with aux,2
Evoluderm conditioner,2
Scholtes stainless steel gas stove,2
Marshall  sound system,2
Pioneer sound system with Bluetooth and aux,2
USU conditioner,2
DENON sound system,2
Standard  body soap,2
French brand shampoo,2
AKG Bluetooth sound system,2
Neutre body soap,2
Neutre shampoo,2
Marseillais  shampoo,2
Rosieres electric stove,2
L'occitane shampoo,2
58 HDTV with Chromecast,2
Gel body soap,2
Fast wifi – 508 Mbps,2
Bosh  stainless steel oven,2
Fast wifi – 353 Mbps,2
Thompson refrigerator,2
ELECTROLUX oven,2
NEFF stainless steel single oven,2
Fast wifi – 608 Mbps,2
Paid crib - always at the listing,2
44 HDTV with Netflix,2
145 HDTV with premium cable,2
Harmann Kardon sound system with Bluetooth and aux,2
Fast wifi – 511 Mbps,2
Lacanche gas stove,2
Échantillon  conditioner,2
Shampoing shampoo,2
Kerastase  shampoo,2
Children’s books and toys for ages 0-2 years old and 5-10 years old,2
L'Oreal Elseve shampoo,2
/ body soap,2
海飞丝 shampoo,2
.  electric stove,2
Compagnie de Provence body soap,2
Thomson single oven,2
Nuxe  shampoo,2
Fast wifi – 674 Mbps,2
Ultra doux  shampoo,2
ELICA induction stove,2
Fast wifi – 657 Mbps,2
Fast wifi – 673 Mbps,2
77 HDTV with Amazon Prime Video,2
Fast wifi – 116 Mbps,2
Smeg double oven,2
IKEA stainless steel double oven,2
108 HDTV with Amazon Prime Video,2
Neutraderm body soap,2
Roger & Gallet body soap,2
Marque grande surface shampoo,2
Brandt stainless steel single oven,2
Fast wifi – 150 Mbps,2
Aseop body soap,2
Palmolive shampoo,2
Ikea  stainless steel single oven,2
Savon de Marseille  shampoo,2
47 HDTV with Chromecast,2
Faure double oven,2
Phyto shampoo,2
Rosieres single oven,2
ELECTROLUX double oven,2
Bosch double oven,2
Loréal shampoo,2
Electrolux stainless steel double oven,2
Fast wifi – 820 Mbps,2
Smeg stainless steel double oven,2
Micro ondes oven,2
31 HDTV,2
KRK sound system with aux,2
Smeg  double oven,2
Fast wifi – 765 Mbps,2
Rosieres stainless steel single oven,2
Apple sound system with Bluetooth and aux,2
Ushaia shampoo,2
Philips  refrigerator,2
Thomson  refrigerator,2
De Dietrich stainless steel double oven,2
Fast wifi – 731 Mbps,2
Neff single oven,2
Novy induction stove,2
Shared pool - ,2
Rosières single oven,2
Ikea stainless steel gas stove,2
DEVIALET Bluetooth sound system,2
Miele  single oven,2
Apple HomePod sound system,2
58 HDTV with Netflix,2
TCL refrigerator,2
Frigidaire  refrigerator,2
Givenchy body soap,2
Geneva Bluetooth sound system,2
BOSCH stainless steel single oven,2
Focal sound system with Bluetooth and aux,2
Kerastase conditioner,2
PS4,2
Bosch stainless steel double oven,2
Valberg refrigerator,2
Miele double oven,2
Media room,2
Bosh  single oven,2
Paid parking lot on premises – 2 spaces,2
Beko stainless steel single oven,2
Cut by Fred conditioner,2
Cut by Fred shampoo,2
Petit Marseillé body soap,2
Lacanche stainless steel double oven,2
Fast wifi – 711 Mbps,2
32 TV with Fire TV,2
L’Oreal ou Garnier,2
NEFF refrigerator,2
Sumsung refrigerator,2
85 HDTV,2
Home shampoo,2
Candy stainless steel double oven,2
N/A refrigerator,2
Fast wifi – 818 Mbps,2
Nad sound system with aux,2
WHIRLPOOL stainless steel single oven,2
Bulldog body soap,2
Electrolux double oven,2
Française  refrigerator,2
Française  oven,2
Liehberr refrigerator,2
Proline  oven,2
900 Care body soap,2
Dietrich stainless steel single oven,2
Fast wifi – 792 Mbps,2
Phillips  refrigerator,2
KEF LSX II - Wireless HiFi speakers sound system with Bluetooth and aux,2
Electrolux  single oven,2
BOSCH double oven,2
NUXE conditioner,2
Furterer,2
De Dietrich stainless steel single oven,2
Housekeeping available 3 hours a day,2
Outdoor kitchen with sink,2
10 HDTV with Amazon Prime Video,1
2 fours: Micro-onde et chaleur tournante stainless steel oven,1
Savon liquide bio body soap,1
28 TV with standard cable,1
KERATIN conditioner,1
De Dietrich stainless steel gas stove,1
Vegan conditioner,1
Ikea stove,1
49 TV with standard cable,1
Whirlpool  stainless steel stove,1
Liebherre refrigerator,1
Sonos et Stéréo sound system with aux,1
You can use everything you’ll find on the 3rd shelf (from the top) of the bathroom furniture body soap,1
Gel douche type Petit Marseillais body soap,1
Thomson stainless steel induction stove,1
Variés body soap,1
Naim audio et enceintes avant Scène sound system,1
Dell sound system with aux,1
Whirpool induction stove,1
Electrolux/Ikea induction stove,1
40 TV with Chromecast,1
Mudji  body soap,1
JM Bluetooth sound system,1
Liebehr refrigerator,1
64 HDTV with Netflix,1
Naim Mu-so Bluetooth sound system,1
Minois Paris / Le Petit Marseillais /  body soap,1
Moltown Brown London  & Le Petit Marseillais body soap,1
Altec Lansing 5.1  sound system with aux,1
Laboratoire Keranove shampoo,1
Brandt stainless steel induction stove,1
23 HDTV with premium cable,1
Écologique body soap,1
Q live sound system,1
Denon  sound system with Bluetooth and aux,1
Liebherr + petit congélateur refrigerator,1
Ushuaïa,1
L'Oréal Paris,1
Sanex... shampoo,1
15 HDTV with DVD player,1
LIEHERR refrigerator,1
BOSH induction stove,1
Enceinte Google & JBL Bluetooth sound system,1
Lexon mini speaker Bluetooth sound system,1
33 HDTV with standard cable,1
Olivier body soap,1
2x50w sound system with aux,1
TV with HBO Max,1
SMEG induction stove,1
Fast wifi – 606 Mbps,1
SVR-LABORATOIREDERMATOLOGIQUE (ANTI-IRRITATION LIPID RESTORING 24 HOURES. body soap,1
MIELE stainless steel single oven,1
Savon de Marseilles body soap,1
Fast wifi – 629 Mbps,1
AGA gas stove,1
BIO Shampoo shampoo,1
NAD + DAC + Cabasse sound system with aux,1
Fast wifi – 931 Mbps,1
13 TV,1
Rosière stainless steel induction stove,1
LG - American fridge with water and ice dispenser refrigerator,1
Https://www.google.at/search?q=savon+marseille&ie=UTF-8&oe=UTF-8&hl=en-gb&client=safari body soap,1
Plaque de cuisson 2 feux electric stove,1
120 TV with standard cable,1
Game console: PS4 and Xbox One,1
Screen mirroring to spread your smartphone music through the speakers.  Bluetooth sound system,1
Bose petit sound system with Bluetooth and aux,1
Christophe Robin / Aloe Vera shampoo,1
Bioderma Atoderm body soap,1
Ça dépend des fois  body soap,1
Généralement du shampoing aux œufs :)  shampoo,1
Inconnue conditioner,1
Différentes marques body soap,1
Différentes marques conditioner,1
Amp sound system with aux,1
112 HDTV with standard cable,1
Lg gas stove,1
Samsoung refrigerator,1
Boch oven,1
Sabon doux  body soap,1
Gionen induction stove,1
Bose Solo 5 sound system with Bluetooth and aux,1
PROLINE induction stove,1
LE  PETIT MARSEILLAIS body soap,1
AUSSUE （sometimes it change） conditioner,1
De Dietrich  gas stove,1
Occitane en Provence  shampoo,1
Savon Marseille fait en France body soap,1
Scholtes electric stove,1
Sasun refrigerator,1
Dedietrich oven,1
BRANDT induction stove,1
Dop,1
etc body soap,1
L’Oréal,1
elseve.. conditioner,1
Savon d'alep naturel et bio body soap,1
Scholtès stainless steel gas stove,1
Organic Aleppo soap + Hawaii body soap body soap,1
Loreale conditioner,1
- stainless steel stove,1
- stainless steel oven,1
Electroluux refrigerator,1
Pur savon de Marseille body soap,1
Biotech sound system with aux,1
Hotelerie refrigerator,1
Bio thé vert body soap,1
SAUTER  oven,1
Sumsumg  sound system with Bluetooth and aux,1
SAUTER stainless steel induction stove,1
UE BOOM  Bluetooth sound system,1
12 TV with Amazon Prime Video,1
Technics + CABASSE sound system with aux,1
Neff stainless steel gas stove,1
Fagor oven,1
Denon  Bluetooth sound system,1
Geneva sound system with aux,1
Naturalia conditioner,1
Indecit stainless steel induction stove,1
Indecit stainless steel oven,1
Ghetto-blaster sound system,1
54 HDTV with premium cable,1
Shared indoor pool,1
Possibilité d’utiliser notre réfrigérateur refrigerator,1
Savion Bio body soap,1
Schneider oven,1
Faure stove,1
Timoteï conditioner,1
Timoteï shampoo,1
DENON sound system with Bluetooth and aux,1
Plaque à induction stove,1
SAMSUNG - Frigo Américain avec Glace et Eau fraiche refrigerator,1
SVR  body soap,1
ADA body soap,1
Samsung mixte four et microonde stainless steel oven,1
16 HDTV with standard cable,1
GRUNDIG Bluetooth sound system,1
Des aliments peuvent être mis au frais dans un bac réservé aux voyageurs refrigerator,1
So bio Ethic body soap,1
Fast wifi – 591 Mbps,1
BOSCH  oven,1
ELECTROLUX  refrigerator,1
First Line refrigerator,1
Roger & Gallet + varia body soap,1
Varia conditioner,1
Bio corps cheveux visage body soap,1
Rosières  stainless steel single oven,1
Dietrich stainless steel oven,1
Day by day body soap,1
Day by day conditioner,1
Arthur Martin stainless steel oven,1
165 HDTV with standard cable,1
Onkyo  sound system with Bluetooth and aux,1
Walberg oven,1
102 HDTV with premium cable,1
Sharp stainless steel single oven,1
27 HDTV with DVD player,1
Mathilde M body soap,1
60 HDTV with DVD player,1
Proline stainless steel single oven,1
Sauber stainless steel oven,1
Karite body soap,1
SoundFreak Bluetooth sound system,1
Morice stainless steel oven,1
Karite shampoo,1
De Dietrich stainless steel induction stove,1
Speakers Harman Kardon sound system with aux,1
Marius Fabre (Rose) body soap,1
Neutrogena body soap,1
Sobio body soap,1
Bower and wilkins sound system with Bluetooth and aux,1
Vegetal  body soap,1
Listo  induction stove,1
Air Fryer Ninja  oven,1
Biocoop  body soap,1
Bang et olufsen Bluetooth sound system,1
Savon liquide body soap,1
Mini réfrigérateur  refrigerator,1
Shared outdoor pool,1
Rosières stainless steel stove,1
Savon,1
gel douche,1
shampooing,1
dentifrice,1
lait pour le corps,1
cotton tige body soap,1
Congélateur refrigerator,1
Nuprime Bluetooth  sound system with Bluetooth and aux,1
Plaque Induction  induction stove,1
HK Onyx Bluetooth sound system,1
Aucune idée  refrigerator,1
Boos Bluetooth sound system,1
Aucune idee oven,1
Different shampoo,1
35 HDTV with Chromecast,1
Mademoiselle Bio body soap,1
Harmann Kardon sound system with aux,1
Phatmacie body soap,1
Rampal Latour body soap,1
Rampal Latour shampoo,1
Enceinte marshal Bluetooth sound system,1
L.A.Bruket shampoo,1
31 TV,1
Elseve/ standard body soap,1
Elseve/standard conditioner,1
Une marque bio  body soap,1
Siemens,1
combi réfrigérateur & 4* freezer refrigerator,1
Brandt Bluetooth sound system,1
Faire une demande et ne pas se servir sans autorisation  body soap,1
PANASONIC sound system,1
Timotei  shampoo,1
Ewa Bluetooth sound system,1
Lovea monoi  shampoo,1
23 TV,1
Samsung four et microonde oven,1
57 HDTV with standard cable,1
27 TV with Chromecast,1
47 HDTV with Disney+,1
Monitor Audio sound system with aux,1
Also freezer refrigerator,1
35 TV with Disney+,1
Logitec  sound system with aux,1
60 TV with Amazon Prime Video,1
LIEBHERR Confort refrigerator,1
Gel douche et shampooing body soap,1
Harper oven,1
157 HDTV with Amazon Prime Video,1
Meraki body soap,1
Meraki shampoo,1
DM body soap,1
Scholtès refrigerator,1
Rosiere stainless steel electric stove,1
17 TV with standard cable,1
Zeppelin Apple sound system,1
Natural  body soap,1
Sony external personal audio system sound system with aux,1
IKEA stove,1
Produits sans savon body soap,1
27 HDTV with Disney+,1
Bose + Philips sound system with Bluetooth and aux,1
Korres body soap,1
Arthur Martin gas stove,1
28 HDTV with DVD player,1
Bose (mini enceinte) sound system,1
Siemens stainless steel electric stove,1
SONOS IKEA sound system,1
Petit savon body soap,1
La Boîte Concept sound system with aux,1
115 TV with standard cable,1
Harmon Kardon Speaker sound system with Bluetooth and aux,1
BOSE sound touch  sound system,1
Thomso.n oven,1
Beldeko  induction stove,1
Ikéa gas stove,1
Le four ne peut pas fonctionner en même temps que le lave-vaisselle stainless steel oven,1
Marantz  Bluetooth sound system,1
Pousse mousse body soap,1
Naturémoi conditioner,1
LA BRUCKET body soap,1
LA BRUCKET  shampoo,1
SCHOLTES stainless steel double oven,1
Roger galet body soap,1
Harman kardon  Bluetooth sound system,1
20 TV with Fire TV,1
Bio miel body soap,1
Deviallet sound system,1
INDISIT  stainless steel oven,1
Savon d’alep body soap,1
Upon request  body soap,1
Upon request conditioner,1
15 HDTV with standard cable,1
Falcon induction stove,1
Falcon 90mm stainless steel oven,1
Liebherr x 2 refrigerator,1
French brands conditioner,1
54 TV with standard cable,1
Rosieres  oven,1
26 TV with standard cable,1
Systeme SONOS sound system,1
Whirlpool (Min-four+ micro-ondes) stainless steel oven,1
Shoot induction stove,1
Champoing  body soap,1
Herman et Kardon sound system,1
Partagé  avec la famille ; petite congelation possible refrigerator,1
Lieebheer refrigerator,1
Focal XS Bluetooth sound system,1
La Boîte concept Bluetooth sound system,1
Toutes body soap,1
Organic shampoo shampoo,1
Ariston electric stove,1
Whirlpool jet Star  stainless steel oven,1
105 HDTV with standard cable,1
Dietrich refrigerator,1
Sony  Bluetooth sound system,1
DOP fabriqué en France shampoo,1
DOP Fabriqué en France body soap,1
Chaîne hi-fi sound system,1
Bang&Olufsen  sound system with aux,1
Mielle stainless steel oven,1
Triangle sound system with aux,1
AEG stainless steel gas stove,1
Fait maison au karité body soap,1
KERASTASE conditioner,1
Paid valet parking on premises – 1 space,1
Sage stainless steel oven,1
Onkyo  sound system with aux,1
Anker Soundmotion+ Bluetooth sound system,1
Pharmacie. Lait d'anesse. body soap,1
72 HDTV with Amazon Prime Video,1
Candy electric stove,1
Fast wifi – 525 Mbps,1
Samsung combiné  single oven,1
Induction  stove,1
Naturel / Bio body soap,1
Naturel / Bio shampoo,1
Paid parking on premises – 2 spaces,1
Gaggenau gas stove,1
Sonos (through Wifi only) sound system,1
Roller Grill stainless steel oven,1
Head & Shoulders 2-in-1 shampoo,1
Head & Shoulders 2-in-1 conditioner,1
We chose among top brands like Weleda,1
Klorane,1
Rogé Cavaillet... body soap,1
Combi four et micro onde stainless steel oven,1
Ampli et enceintes dans salon et salle de bain sound system,1
Frigidaire induction stove,1
B&o Bluetooth sound system,1
Artur Martin oven,1
CD player with lots of CD available (jazz,1
classical and opera) sound system with aux,1
Léonor Greyl shampoo,1
Mnprix shampoo,1
Le petit Marseillais en gel body soap,1
Le Petit Marseillais ou equivalent  shampoo,1
Bose ,1
technics Bluetooth sound system,1
Enceinte dans la chambre liée à la TV sound system with Bluetooth and aux,1
34 HDTV with Amazon Prime Video,1
Soeder  body soap,1
ONKYO sound system,1
CLASSIQUE refrigerator,1
130 TV with premium cable,1
Rozieres electric stove,1
De Drietrich induction stove,1
Logitech bt adapter  Bluetooth sound system,1
Fast wifi – 1017 Mbps,1
Fast wifi – 241 Mbps,1
Frigidaire privé refrigerator,1
33 HDTV with Chromecast,1
Rampal Latour Bio shampoo,1
Enceinte Marshall Bluetooth sound system,1
Listo induction stove,1
Don t know electric stove,1
Liebeher refrigerator,1
PETIT MARSEILLAIS body soap,1
L’Oréal’s  conditioner,1
Dépends  body soap,1
Shiver cast  single oven,1
Scholtès stainless steel single oven,1
Scholtès stainless steel induction stove,1
L OREAL body soap,1
Rosiers oven,1
Rosiers electric stove,1
Xx body soap,1
125 TV with standard cable,1
Boose sound system with aux,1
Organic So bio Lea Nature. Le Fer à cheval Marseille body soap,1
Organic So Bio Lea Nature et après shampooing Lea Nature shampoo,1
Organic So Bio Lea Nature conditioner,1
Sannex body soap,1
Pantène conditioner,1
CA DEPEND / IT DEPENDS body soap,1
Savon liquide Petit Marseillais body soap,1
Fast wifi – 695 Mbps,1
Crème lavante douche body soap,1
  . refrigerator,1
  . electric stove,1
Piano de cuisson 5 feux  oven,1
organic soap body soap,1
165 HDTV with Amazon Prime Video,1
DeDietrich stainless steel oven,1
De base conditioner,1
Petite enceinte Bose Bluetooth sound system,1
Tivoli  sound system with Bluetooth and aux,1
Head & Shoulders conditioner,1
139 HDTV with standard cable,1
Ikea  stainless steel oven,1
Bulthaup refrigerator,1
De base shampoo,1
De base body soap,1
LES CHOSE SIMPLES shampoo,1
51 TV with standard cable,1
Sanex ou équivalent  body soap,1
Dop or le petit marseillais shampoo,1
TELEFUNKEN refrigerator,1
Adene body soap,1
175 HDTV with premium cable,1
WHIRPOOL stainless steel oven,1
Eugène Perma shampoo,1
Energie Fruit body soap,1
Eugène Perma conditioner,1
Vestfrost Danemark  refrigerator,1
Mini mini four oven,1
Renpure  shampoo,1
Renpure  conditioner,1
45 HDTV with DVD player,1
Luxman  sound system,1
Bang & Ofulsen Bluetooth sound system,1
Rampal Latour (certification BIO) body soap,1
34 HDTV with Apple TV,1
Siemens:  Top avec compartiment congélateur refrigerator,1
Avec compartiment surgelé refrigerator,1
Combiné four micro onde  oven,1
Si je le savais... stainless steel electric stove,1
Chaipas stainless steel oven,1
Au choix  body soap,1
Distributeur rond body soap,1
Distributeur rectangulaire shampoo,1
Panasonic  refrigerator,1
25 HDTV with Amazon Prime Video,1
34 HDTV with Chromecast,1
2 plaques de cuisson induction stove,1
Rosières stainless steel electric stove,1
Freebox Révolution,1
TV LG 43 sound system with Bluetooth and aux,1
Shared indoor pool - available seasonally,1
42 TV with premium cable,1
SoBio  shampoo,1
Marantz - AirPlay Wifi Bluetooth Bluetooth sound system,1
Generic Bluetooth Speaker Bluetooth sound system,1
Head & Shoulders (standard) shampoo,1
Indisit  stainless steel gas stove,1
Paid valet parking on premises – 400 spaces,1
Bel Bluetooth sound system,1
Différents ones body soap,1
BOOM  sound system with Bluetooth and aux,1
Selon les achats body soap,1
En fonction des dispos body soap,1
BEATS BY DRE Bluetooth sound system,1
AArthur Martin  electric stove,1
Arthur Martin  oven,1
All kind conditioner,1
All kind body soap,1
Fast wifi – 778 Mbps,1
Fast wifi – 617 Mbps,1
Tour multi-media bluethooth sound system with Bluetooth and aux,1
44 HDTV with standard cable,1
Organic / bio body soap,1
REGA sound system with aux,1
Fast wifi – 121 Mbps,1
Nintendo Wii,1
Nad sound system with Bluetooth and aux,1
60 HDTV with Disney+,1
Radio ,1
lecteurCD,1
lecteur DVD. sound system,1
Cuisinière à gaz 4 feux avec four. stove,1
The finest ones  body soap,1
Chaine hifi sound system with Bluetooth and aux,1
53 HDTV with Amazon Prime Video,1
SMEG  oven,1
Sholtès stove,1
Sholtes stainless steel oven,1
Bose et JBL sound system with Bluetooth and aux,1
Non renseigné sound system with Bluetooth and aux,1
30 TV with Chromecast,1
Plusieurs marques différentes conditioner,1
Fast wifi – 856 Mbps,1
104 HDTV with Netflix,1
Véritable savon de Marseille body soap,1
Sans body soap,1
Dyson  sound system with Bluetooth and aux,1
Proligne refrigerator,1
Faure  stainless steel single oven,1
Ultimate ears sound system,1
Rossiere  induction stove,1
Faure  stainless steel induction stove,1
Fast wifi – 699 Mbps,1
Game console: PS2 and PS4,1
Moulinex  oven,1
13 HDTV with Amazon Prime Video,1
WONDERBOOM sound system with Bluetooth and aux,1
Produit bio body soap,1
Produit bio conditioner,1
DeLonghi stainless steel double oven,1
103 HDTV,1
Apple AirPlay Bluetooth sound system,1
Neff  stainless steel oven,1
Bosch  double oven,1
BIO/ organic body soap,1
Hi Fi for LP’s sound system,1
Fast wifi – 136 Mbps,1
Darty stainless steel oven,1
Intégrée stove,1
Hema conditioner,1
33 TV with Amazon Prime Video,1
Marque  refrigerator,1
Bluetooth  Bluetooth sound system,1
 body soap,1
Sapone liquido body soap,1
Avec petit congélateur  refrigerator,1
117 HDTV,1
Bose USB speakers for laptop sound system,1
Dop Shampooing doux ou equivalent conditioner,1
Sanex/Dove ou equivalent body soap,1
Différentes body soap,1
Boose sound system with Bluetooth and aux,1
100 TV with DVD player,1
Rosière stainless steel gas stove,1
1 tiroir fermé,1
congélateur non mis à disposition,1
éventuellement 1 tiroir congélation libre refrigerator,1
MARSEILLE ORGANIC body soap,1
Non descript body soap,1
80 TV with Apple TV,1
I don’t know… body soap,1
Fast wifi – 1185 Mbps,1
Kerastase/ redken  conditioner,1
